lambda    f             f_err
  0      -0.000036     0.011701
  1      -10.230729     0.012401
  2      -19.967344     0.023052
  3      -29.237399     0.033129
  4      -38.048713     0.038827
  5      -46.434363     0.043774
  6      -54.406183     0.045118
  7      -61.983742     0.051302
  8      -69.187699     0.056006
  9      -76.041011     0.059205
  10      -82.548715     0.060113
  11      -88.710080     0.062998
  12      -94.561271     0.065857
  13      -100.101020     0.061869
  14      -105.321085     0.061826
  15      -110.238897     0.062858
  16      -114.849933     0.061400
  17      -119.146129     0.064107
  18      -123.145099     0.065836
  19      -126.827735     0.067270
  20      -130.167645     0.066459
  21      -132.392868     0.071659
  22      -134.790239     0.063946
  23      -137.298781     0.062455
  24      -139.845926     0.064546
  25      -141.074192     0.063967
  26      -142.219133     0.067230
  27      -143.238308     0.069161
  28      -144.048458     0.070563
  29      -144.377486     0.068828
  30      -144.535010     0.069761
  31      -144.471591     0.072461
  32      -144.100224     0.066198
  33      -143.254809     0.077429
  34      -141.776286     0.081883
  35      -139.693846     0.086546
  36      -137.420415     0.093673
  37      -134.816131     0.095277
  38      -133.053925     0.090915
  39      -132.302346     0.099127
